Data Source,World Development Indicators,
Last Updated Date,2021-09-15,
Country Name,Country Code,indicator, Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,
Aruba,ABW,GDP per capita, PPP (constant 2017 international $),NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37035.0331833196,38455.2077682848,38559.0959666381,38948.3139816001,39830.5192426647,39004.7846056033,38097.9834759171,39714.0933835563,39655.920022559,39367.0238450198,41499.6385368811,39388.3526308389,37256.6597201842,37200.0588504797,39440.6678569856,39407.1909679879,39504.4687300445,40058.3133138128,39968.2786852008,35731.9896000615,34343.1513198843,35392.605185777,34732.4958463381,35980.1645924769,35875.6298298588,37715.9266182631,38314.8060318881,38897.122666275,,,,
Africa Eastern and Southern,AFE,GDP per capita, PPP (constant 2017 international $),NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2867.19255379229,2783.02852829267,2642.4799372131,2551.34296640363,2528.41643454275,2570.46218315209,2642.46735142697,2659.71403090533,2637.93063815979,2640.33649410258,2654.76790045922,2678.70620140802,2707.90866643825,2718.73474712195,2797.85135649816,2901.69026290011,3023.41795179023,3159.88040695507,3229.27819768129,3192.54792304903,3273.44736967583,3338.58200706857,3394.21233694266,3462.87789754429,3524.83293356316,3549.48056329573,3546.7112502054,3569.66702838607,3579.27191657851,3568.59701698507,3387.59467010415,
Afghanistan,AFG,GDP per capita, PPP (constant 2017 international $),NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1189.78466765718,1235.81006329565,1200.27801321734,1286.79365893927,1315.78911741835,1460.8257513794,1484.11446132539,1758.90447663765,1957.02906990812,1904.55992565594,2075.49161435331,2116.46525771251,2102.38460375974,2068.26590413364,2057.06797755329,2058.4002210698,2033.80438893717,2065.03623501599,1978.96157872183,
Africa Western and Central,AFW,GDP per capita, PPP (constant 2017 international $),NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2810.7812036006,2771.22595817749,2765.52257116159,2665.86423718964,2594.50088704085,2582.23811523284,2633.38097050178,2661.79115188393,2685.4179102178,2658.74506274182,2676.80640762878,2748.43190180746,2929.1273544235,3013.9962056001,3159.38546581922,3254.02283869136,3332.79869722853,3419.85988703438,3530.74139022911,3640.41807062482,3773.01146069906,3854.72059372725,3953.02229397102,4076.15155422383,4197.74214587865,4202.05792297522,4106.96951137272,4099.55966564973,4115.23580077379,4142.39838164389,4003.15891314519,
Angola,AGO,GDP per capita, PPP (constant 2017 international $),NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5783.42955231631,5649.78212964561,5148.25485731592,3788.5095556555,3717.36522903903,4139.64076955341,4551.6503810052,4728.1569239722,4792.68416271916,4740.66923573176,4727.96631394756,4766.83673589953,5240.8394329332,5218.20771212651,5593.24362419081,6210.2221878264,6681.10102767941,7341.86519904765,7864.37457862612,7643.49578596548,7692.43428623311,7675.44608452759,8036.69240208792,8140.52597328045,8239.8306720725,8036.41089824639,7568.99816818809,7310.89658895511,6933.49993413352,6670.33145836633,6198.08384070806,
Albania,ALB,GDP per capita, PPP (constant 2017 international $),NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4827.31848375491,3496.58024610028,3265.01742857304,3599.02705819638,3921.85120713086,4471.87106998715,4909.22810492363,4400.57782736551,4819.38753360483,5475.16913542593,5893.13623256329,6441.85345238676,6754.53600301332,7154.78482512179,7580.62909108667,8040.87871678112,8569.19111251045,9150.51874704368,9912.57724242974,10313.926441304,10749.4874481658,11052.7904635136,11227.9944871972,11361.2936763788,11586.8637666424,11878.4880933446,12291.8733773928,12770.9750370811,13323.7533559132,13671.4884222978,13295.4108845409,
Andorra,AND,GDP per capita, PPP (constant 2017 international $),NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,GDP per capita, PPP (constant 2017 international $),NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9648.87772685563,9620.78589235341,9899.01497435019,9889.76067470318,9919.71798495203,9875.71302778411,10095.8008113268,10265.9216702464,10573.3408597633,10550.8458439317,10994.0890907165,10941.5868899014,10760.8568924902,11033.2285597918,11727.727816359,12083.4295343917,12493.2449987673,12761.3096522007,13191.9043750788,12992.8099230377,13275.3204053535,13467.8053634827,13967.6767609302,14097.4529407346,14173.5792806697,14411.2623782103,14612.1987079754,14529.313724802,14608.9742464222,14599.7078927554,13753.7073066431,
United Arab Emirates,ARE,GDP per capita, PPP (constant 2017 international $),NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111454.055661144,106103.552651268,103470.92457248,98978.4746102407,100213.156222108,101570.992096292,102211.638839933,105108.996261232,100100.435653891,97698.5373915635,102494.714619638,98621.5363837505,95909.1453554823,97795.0272008784,97757.8551487404,90894.8988067777,86425.8972155092,76620.3150621597,68798.4182620981,58374.6153336849,54921.7755754851,56123.4798818327,57390.7005212249,59921.7478304421,62378.6100477921,65218.8204340815,66510.9029855157,67183.6053111678,66968.2211775042,67119.153244137,,
Argentina,ARG,GDP per capita, PPP (constant 2017 international $),NY.GDP.PCAP.PP.KD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14144.763670185,15221.7921466357,16209.3259772191,17312.0345746755,18092.0208138835,17362.5218025698,18104.6978094959,19347.5370400793,19866.2450529656,18981.1683827308,18625.2835537811,17610.7553863202,15523.0387763102,16714.6701331846,18032.6114274365,19426.4401434847,20777.6527103251,22424.1177287545,23103.4565215341,21519.8936160174,23521.2701750961,24647.6292739541,24118.8675158912,24424.1364465071,23550.0990599374,23933.8866120953,23189.5274451329,23597.117752839,22759.3985583341,22063.9043717551,19686.523658911,
