第１表　　　企業規模別新規学卒者の初任給の推移															
　 （注）　1　初任給は、当該年次における確定した額であり、所定内給与額から通勤手当を除いたものである。		
　　　　　 2　(  )内の数値は、対前年増減率（％）である。		
　　　　　 3　女の大学卒については、昭和61年までは事務系の、62年以降は事務系と技術系を合わせた数値であり、		
 　　　　　 62年の対前年増減率は、62年事務系の数値を用いて算出したものである。		
　　 　　　4　大学院修士課程修了については、平成17年から調査している。		
　　 　　　5　平成30年以前は、調査対象産業「宿泊業，飲食サービス業」のうち「バー，キャバレー，ナイトクラブ」を除外している。		
year	大学院修士課程修了		大学卒		高専短大卒		高校卒		大学院修士課程修了		大学卒		高専短大卒		高校卒	
　昭和51年		 	94.3	   	82.2	   	76.9	   		 	87.6	   	81.0	   	73.4	   
 　　 52　		 	101.0	 7.1	87.9	 6.9	81.9	 6.5		 	95.3	 8.8	86.6	 6.9	78.4	 6.8
　 　 53		 	105.5	 4.5	93.0	 5.8	85.9	 4.9		 	99.9	 4.8	90.7	 4.7	82.0	 4.6
　　  54		 	109.5	 3.8	95.8	 3.0	88.6	 3.1		 	103.7	 3.8	93.0	 2.5	84.7	 3.3
　 　 55		 	114.5	 4.6	100.7	 5.1	92.8	 4.7		 	108.7	 4.8	97.4	 4.7	88.3	 4.3
 　　 56		 	120.8	 5.5	106.5	 5.8	98.4	 6.0		 	115.0	 5.8	102.6	 5.3	93.1	 5.4
 　　 57		 	127.2	 5.3	111.2	 4.4	103.4	 5.1		 	119.1	 3.6	106.9	 4.2	97.5	 4.7
 　　 58		 	132.2	 3.9	116.8	 5.0	106.2	 2.7		 	124.1	 4.2	109.7	 2.6	100.0	 2.6
 　　 59		 	135.8	 2.7	120.0	 2.7	108.8	 2.4		 	128.7	 3.7	113.0	 3.0	103.0	 3.0
 　　 60		 	140.0	 3.1	123.6	 3.0	112.2	 3.1		 	133.5	 3.7	117.0	 3.5	106.2	 3.1
 　　 61		 	144.5	 3.2	126.5	 2.3	115.4	 2.9		 	138.4	 3.7	120.5	 3.0	108.5	 2.2
 　　 62		 	148.2	 2.6	128.3	 1.4	118.1	 2.3		 	142.7	 3.1	122.7	 1.8	110.1	 1.5
 　　 63		 	153.1	 3.3	132.3	 3.1	120.3	 1.9		 	149.0	 4.4	125.8	 2.5	113.8	 3.4
  平成元年		 	160.9	 5.1	138.4	 4.6	125.6	 4.4		 	155.6	 4.4	131.7	 4.7	118.3	 4.0
　 　　2		 	169.9	 5.6	145.4	 5.1	133.0	 5.9		 	162.9	 4.7	138.1	 4.9	126.0	 6.5
 　　　3		 	179.4	 5.6	155.1	 6.7	140.8	 5.9		 	172.3	 5.8	146.5	 6.1	133.2	 5.7
 　　　4		 	186.9	 4.2	160.9	 3.7	146.6	 4.1		 	180.1	 4.5	152.4	 4.0	139.5	 4.7
 　　　5		 	190.3	 1.8	165.1	 2.6	150.6	 2.7		 	181.9	 1.0	155.6	 2.1	142.4	 2.1
 　　　6		 	192.4	 1.1	166.6	 0.9	153.8	 2.1		 	184.5	 1.4	157.7	 1.3	145.5	 2.2
 　　　7		 	194.2	 0.9	165.1	-0.9	154.0	 0.1		 	184.0	-0.3	158.7	 0.6	144.7	-0.5
 　　　8		 	193.2	-0.5	166.8	 1.0	154.5	 0.3		 	183.6	-0.2	158.7	 0.0	146.1	 1.0
 　　　9		 	193.9	 0.4	168.9	 1.3	156.0	 1.0		 	186.2	 1.4	161.0	 1.4	147.3	 0.8
　　　10		 	195.5	 0.8	168.8	-0.1	156.5	 0.3		 	186.3	 0.1	161.8	 0.5	147.9	 0.4
　　　11		 	196.6	 0.6	170.3	 0.9	157.6	 0.7		 	188.7	 1.3	162.2	 0.2	148.3	 0.3
　　　12		 	196.9	 0.2	171.6	 0.8	157.1	-0.3		 	187.4	-0.7	163.6	 0.9	147.6	-0.5
　　　13		 	198.3	 0.7	170.3	-0.8	158.1	 0.6		 	188.6	 0.6	163.8	 0.1	148.7	 0.7
　　　14		 	198.5	 0.1	169.5	-0.5	157.5	-0.4		 	188.8	 0.1	164.3	 0.3	148.8	 0.1
　　　15		 	201.3	 1.4	169.8	 0.2	157.5	 0.0		 	192.5	 2.0	163.5	-0.5	147.0	-1.2
　　　16		 	198.3	-1.5	170.7	 0.5	156.1	-0.9		 	189.5	-1.6	164.2	 0.4	147.2	 0.1
　　　17	221.0	 	196.7	-0.8	170.3	-0.2	155.7	-0.3	216.6	 	189.3	-0.1	164.2	 0.0	148.0	 0.5
　　　18	224.6	 1.6	199.8	 1.6	171.2	 0.5	157.6	 1.2	226.0	 4.3	190.8	 0.8	166.8	 1.6	149.4	 0.9
　　　19	224.6	 0.0	198.8	-0.5	171.2	 0.0	158.8	 0.8	226.7	 0.3	191.4	 0.3	166.9	 0.1	150.8	 0.9
　　　20	226.2	 0.7	201.3	 1.3	171.6	 0.2	160.0	 0.8	223.6	-1.4	194.6	 1.7	168.6	 1.0	154.3	 2.3
　　　21	228.6	 1.1	201.4	 0.0	175.8	 2.4	160.8	 0.5	227.1	 1.6	194.9	 0.2	171.7	 1.8	153.0	-0.8
　　　22	224.5	-1.8	200.3	-0.5	173.6	-1.3	160.7	-0.1	221.2	-2.6	193.5	-0.7	168.2	-2.0	153.2	 0.1
　　　23	233.9	 4.2	205.0	 2.3	175.5	 1.1	159.4	-0.8	237.3	 7.3	197.9	 2.3	170.5	 1.4	151.8	-0.9
　　　24	225.6	-3.5	201.8	-1.6	173.0	-1.4	160.1	 0.4	228.4	-3.8	196.5	-0.7	168.4	-1.2	153.6	 1.2
　　　25	227.7	 0.9	200.2	-0.8	174.2	 0.7	158.9	-0.7	230.0	 0.7	195.1	-0.7	171.2	 1.7	151.3	-1.5
　　　26	227.7	 0.0	202.9	 1.3	176.1	 1.1	161.3	 1.5	230.7	 0.3	197.2	 1.1	172.8	 0.9	154.2	 1.9
　　　27	228.5	 0.4	204.5	 0.8	177.3	 0.7	163.4	 1.3	228.5	-1.0	198.8	 0.8	174.6	 1.0	156.2	 1.3
      28	231.7	 1.4	205.9	 0.7	179.7	 1.4	163.5	 0.1	229.7	 0.5	200.0	 0.6	175.2	 0.3	157.2	 0.6
      29	233.6	 0.8	207.8	 0.9	180.6	 0.5	164.2	 0.4	232.4	 1.2	204.1	 2.1	178.4	 1.8	158.4	 0.8
      30	239.9	 2.7	210.1	 1.1	182.9	 1.3	166.6	 1.5	234.2	 0.8	202.6	-0.7	180.4	 1.1	162.3	 2.5
  令和元年	239.0	-0.4	212.8	 1.3	184.7	 1.0	168.9	 1.4	238.3	 1.8	206.9	 2.1	183.4	 1.7	164.6	 1.4
