Country	Albania	Algeria	Armenia, Rep. of	Australia	Austria	Azerbaijan, Rep. of	Belarus, Rep. of	Belgium	Bosnia and Herzegovina	Brazil	Bulgaria	Canada	Central African Rep.	Chile	China, P.R.: Hong Kong	China, P.R.: Mainland	Colombia	Congo, Rep. of	Costa Rica	Croatia, Rep. of	Cyprus	Czech Rep.	Denmark	Ecuador	El Salvador	Estonia, Rep. of	Ethiopia, The Federal Dem. Rep. of	Euro Area	Finland	France	Gabon	Gambia, The	Georgia	Germany	Ghana	Greece	Guatemala	Hungary	Iceland	India	Iran, Islamic Rep. of	Ireland	Israel	Italy	Japan	Jordan	Kazakhstan, Rep. of	Korea, Rep. of	Kosovo, Rep. of	Kyrgyz Rep.	Latvia	Lithuania	Luxembourg	Malaysia	Malta	Mauritius	Mexico	Montenegro	Morocco	Netherlands, The	New Zealand	Nicaragua	North Macedonia, Republic of	Norway	Oman	Paraguay	Philippines	Poland, Rep. of	Portugal	Romania	Russian Federation	Senegal	Serbia, Rep. of	Slovak Rep.	Slovenia, Rep. of	South Africa	Spain	Sudan	Sweden	Switzerland	Thailand	Trinidad and Tobago	Tunisia	Turkey	Ukraine	United Kingdom	United States	Uruguay	Uzbekistan, Rep. of	Vietnam	Zambia	Advanced Economies
1970				11.65	42.89			27.95				19.53	10.83				0.18	21.36					16.63						19.43		21.49			37.76			27.35	4.70				15.62			56.38			7.63												35.84	7.15																	56.37	11.56	54.74	11.03					8.69	19.96				0.56	
1971				12.22	45.12			27.77				19.90	11.39				0.21	21.52					17.17						20.41		22.36			39.35			27.91	4.81				16.45			55.93			8.28												37.97	7.68																	53.94	11.82	56.91	11.06					9.48	20.62				0.59	
1972				12.81	46.88			28.91				20.79	12.10				0.24	24.26					18.18						22.13		23.46			40.40			27.72	4.91				18.21			56.83			9.44												39.80	8.22																	58.85	12.36	59.23	11.93					9.97	21.53				0.64	
1973				13.92	47.47			32.47				23.10	12.39				0.31	25.55					20.85						26.00		25.14			43.08			31.67	5.05				21.56			65.77			10.09												42.27	9.26																	68.06	13.76	64.28	14.66					10.72	24.36				0.67	
1974				16.05	54.66			37.91				27.49	14.84				0.42	29.46					25.36						32.34		30.78			48.85			38.88	5.22				24.08			83.86			14.34												46.05	10.01																13.27	86.57	17.17	73.26	18.89					13.11	28.94				0.77	
1975				18.46	58.15			38.38				30.62	17.64				0.53	33.58					26.81						36.74		35.41			51.12			43.68	5.77				30.14			86.24			18.14												48.82	11.34																14.48	100.00	18.30	74.15	19.59					16.11	31.62				0.89	
1976				20.55	61.54			41.11				32.18	18.48				0.65	38.10					28.96						39.75		41.55			53.00			48.26	6.04				35.68			90.94			20.34												52.20	13.87																16.40		19.93	73.38	20.37					18.77	33.09				1.07	
1977				22.64	63.40			42.10				34.69	19.93				0.82	42.79					31.10						43.77		47.54			54.46			54.55	6.16				42.01			93.99			22.18												55.07	16.16			19.43				0.05									19.72		21.83	73.32	21.95					22.33	35.12				1.33	
1978				24.50	64.01			41.31				37.90	21.43				0.97	47.00					32.44						46.20		51.78			55.09			56.51	6.39				45.80			93.53			24.77												55.88	18.02			20.21				0.06									22.96		23.57	72.33	23.59					24.34	37.85				1.59	
1979				28.12	66.70			43.90				43.41	24.39				1.24	50.96					35.66						50.70		54.85			57.73			62.28	6.52				51.23			98.20			29.41												57.31	21.21			21.67				0.06									26.29		26.36	73.71	26.24	21.55				27.21	42.60				1.84	
