"LOCATION"	"Country"	"SUBJECT"	"Subject"	"MEASURE"	"Measure"	"TIME"	"Time"	"Unit Code"	"Unit"	"PowerCode Code"	"PowerCode"	"Reference Period Code"	"Reference Period"	"Value"	"Flag Codes"	"Flags"
"AUS"	"Australia"	"T_KSER"	"Total capital services"	"GRW"	"Annual growth/change"	"1985"	"1985"	"PC"	"Percentage"	"0"	"Units"			5.122257		
"AUS"	"Australia"	"T_KSER"	"Total capital services"	"GRW"	"Annual growth/change"	"1986"	"1986"	"PC"	"Percentage"	"0"	"Units"			4.945708		
"AUS"	"Australia"	"T_KSER"	"Total capital services"	"GRW"	"Annual growth/change"	"1987"	"1987"	"PC"	"Percentage"	"0"	"Units"			4.964987		
"AUS"	"Australia"	"T_KSER"	"Total capital services"	"GRW"	"Annual growth/change"	"1988"	"1988"	"PC"	"Percentage"	"0"	"Units"			5.063412		
"AUS"	"Australia"	"T_KSER"	"Total capital services"	"GRW"	"Annual growth/change"	"1989"	"1989"	"PC"	"Percentage"	"0"	"Units"			4.829607		
"AUS"	"Australia"	"T_KSER"	"Total capital services"	"GRW"	"Annual growth/change"	"1990"	"1990"	"PC"	"Percentage"	"0"	"Units"			3.322821		
"AUS"	"Australia"	"T_KSER"	"Total capital services"	"GRW"	"Annual growth/change"	"1991"	"1991"	"PC"	"Percentage"	"0"	"Units"			2.668921		
"AUS"	"Australia"	"T_KSER"	"Total capital services"	"GRW"	"Annual growth/change"	"1992"	"1992"	"PC"	"Percentage"	"0"	"Units"			3.043606		
"AUS"	"Australia"	"T_KSER"	"Total capital services"	"GRW"	"Annual growth/change"	"1993"	"1993"	"PC"	"Percentage"	"0"	"Units"			3.037751		
"AUS"	"Australia"	"T_KSER"	"Total capital services"	"GRW"	"Annual growth/change"	"1994"	"1994"	"PC"	"Percentage"	"0"	"Units"			3.623185		
"AUS"	"Australia"	"T_KSER"	"Total capital services"	"GRW"	"Annual growth/change"	"1995"	"1995"	"PC"	"Percentage"	"0"	"Units"			3.773967		
