Year	quarter 	All-worker labor share	Employee-only labor share	Proprietors' total income share
1947				
	1	65.8 	56.4 	11.4
	2	64.9 	55.5 	11.3
	3	65.9 	56.5 	10.6
	4	65.0 	55.9 	10.2
1948				
	1	65.1 	55.8 	10.8
	2	65.1 	55.7 	10.9
	3	65.1 	55.8 	10.8
	4	64.5 	55.4 	11.1
1949				
	1	64.7 	55.2 	10.8
	2	64.8 	55.2 	11.1
	3	63.6 	54.0 	10.9
	4	64.0 	54.0 	11.0
1950				
	1	63.2 	53.6 	11.2
	2	63.6 	54.4 	11.0
	3	62.8 	54.0 	10.7
	4	62.9 	54.6 	10.0
1951				
	1	62.6 	54.3 	10.1
	2	63.4 	55.0 	10.3
	3	62.3 	54.3 	10.5
	4	62.9 	54.8 	10.4
1952				
	1	63.2 	55.3 	10.3
	2	63.7 	55.7 	10.5
	3	64.0 	56.2 	10.5
	4	63.9 	55.9 	10.2
1953				
	1	64.0 	56.0 	10.1
	2	64.2 	56.2 	10.0
	3	64.3 	56.4 	9.9
	4	65.1 	57.0 	10.2
1954				
	1	65.3 	56.9 	10.2
	2	64.8 	56.5 	10.4
	3	64.3 	55.8 	10.3
	4	63.9 	55.4 	10.3
1955				
	1	62.8 	54.5 	10.3
	2	62.9 	55.0 	10.2
	3	63.2 	55.3 	10.3
	4	63.3 	55.4 	10.3
1956				
	1	64.5 	56.4 	10.3
	2	65.1 	56.7 	10.2
	3	65.2 	56.8 	10.3
	4	65.2 	57.0 	10.2
1957				
	1	64.7 	56.5 	10.2
	2	65.2 	56.7 	10.3
	3	64.8 	56.4 	10.3
	4	65.3 	56.8 	10.3
1958				
	1	66.0 	57.2 	10.6
	2	65.2 	56.3 	10.6
	3	65.2 	56.2 	10.4
	4	64.0 	55.4 	10.3
1959				
	1	64.3 	55.9 	10.1
	2	63.9 	55.7 	10.1
	3	64.2 	55.7 	10.3
	4	64.6 	56.0 	10.1
1960				
	1	64.4 	56.1 	9.7
	2	65.6 	57.0 	9.8
	3	65.5 	56.8 	9.7
	4	66.4 	57.5 	9.9
1961				
	1	66.1 	57.0 	10.1
	2	65.0 	56.3 	10.0
	3	64.6 	56.1 	10.0
	4	64.4 	55.9 	9.9
1962				
	1	64.1 	55.7 	9.8
	2	64.4 	56.0 	9.7
	3	63.9 	55.8 	9.7
	4	64.0 	56.2 	9.7
1963				
	1	64.1 	56.1 	9.6
	2	63.8 	56.0 	9.5
	3	63.1 	55.5 	9.4
	4	63.4 	55.6 	9.5
1964				
	1	62.6 	54.9 	9.5
	2	62.7 	55.2 	9.6
	3	62.8 	55.3 	9.6
	4	63.6 	56.0 	9.6
1965				
	1	62.7 	55.2 	9.3
	2	62.7 	55.2 	9.3
	3	61.9 	54.8 	9.2
	4	61.5 	54.7 	9.1
1966				
	1	61.5 	54.7 	9.0
	2	62.3 	55.3 	8.9
	3	62.6 	55.7 	8.9
	4	62.3 	55.7 	8.9
1967				
	1	62.3 	55.6 	9.0
	2	62.7 	56.0 	9.0
	3	62.7 	56.1 	9.0
	4	62.8 	56.2 	8.9
1968				
	1	62.4 	56.0 	8.8
	2	62.1 	55.7 	8.8
	3	62.8 	56.3 	8.9
	4	63.3 	56.6 	8.8
1969				
	1	62.9 	56.4 	8.6
	2	63.7 	57.1 	8.5
	3	64.2 	57.6 	8.4
	4	65.0 	58.5 	8.2
1970				
	1	65.3 	58.7 	8.2
	2	64.4 	58.0 	8.1
	3	64.1 	57.8 	8.1
	4	64.4 	57.8 	8.3
1971				
	1	63.2 	56.6 	8.0
	2	63.2 	56.6 	8.2
	3	62.9 	56.4 	8.3
	4	63.6 	57.0 	8.4
1972				
	1	63.6 	57.1 	8.2
	2	62.8 	56.5 	8.1
	3	62.9 	56.6 	8.2
	4	63.2 	57.0 	8.5
1973				
	1	63.1 	56.9 	8.1
	2	63.2 	57.0 	7.9
	3	64.1 	57.7 	8.0
	4	64.3 	58.0 	7.9
1974				
	1	64.4 	58.2 	8.0
	2	63.9 	57.6 	7.8
	3	64.5 	58.2 	7.8
	4	63.8 	57.4 	7.6
1975				
	1	63.2 	56.8 	7.8
	2	62.5 	56.1 	7.8
	3	61.9 	55.7 	7.7
	4	62.0 	55.6 	7.8
1976				
	1	61.5 	55.3 	7.9
	2	61.4 	55.4 	8.1
	3	61.7 	55.6 	8.3
	4	61.7 	55.5 	8.3
1977				
	1	61.6 	55.4 	8.2
	2	61.6 	55.4 	8.1
	3	61.4 	55.1 	8.1
	4	62.2 	55.9 	8.2
1978				
	1	63.2 	56.8 	8.4
	2	61.8 	55.4 	8.2
	3	61.6 	55.4 	8.1
	4	61.5 	55.2 	8.0
1979				
	1	62.8 	56.4 	8.1
	2	62.5 	56.2 	7.9
