downloaded from https://www.stat.go.jp/data/roudou/longtime/zuhyou/lt01-a10.xlsx 2011年3月から8月までの期間は，東日本大震災の影響により全国集計結果が存在しないため，補完推計値（2015年国勢調査基準）を用いた（< >内の数値）。
				労働力人口			就業者			雇用者			完全失業者			非労働力人口			完全失業率（％）		
year	month	Mon	star	Labour force			Employed person			Employee			Unemployed person			Not in labour force			Unemployment rate  (percent)		
				男女計	男	女	男女計	男	女	男女計	男	女	男女計	男	女	男女計	男	女	男女計	男	女
				Both sexes	Male	Female	Both sexes	Male	Female	Both sexes	Male	Female	Both sexes	Male	Female	Both sexes	Male	Female	Both sexes	Male	Female
昭和28年	1月	Jan.	*	(4122)	(2416)	(1708)	(4044)	(2371)	(1673)	(1715)	(1222)	(493)	(79)	(45)	(34)	(1566)	(325)	(1244)	(1.9)	(1.9)	(2.0)
1953	2月	Feb.	*	(4001)	(2375)	(1625)	(3925)	(2331)	(1590)	(1687)	(1200)	(486)	(77)	(44)	(33)	(1668)	(359)	(1310)	(1.9)	(1.9)	(2.1)
	3月	Mar.	*	(4008)	(2382)	(1624)	(3939)	(2339)	(1598)	(1676)	(1195)	(480)	(73)	(45)	(28)	(1670)	(353)	(1316)	(1.8)	(1.9)	(1.7)
※注_Notes	4月	Apr.	*	3956 	2369 	1588 	3877 	2321 	1554 	1647 	1186 	461 	81 	48 	33 	1727 	369 	1357 	2.0 	2.0 	2.1 
	5月	May	*	3917 	2357 	1562 	3837 	2307 	1531 	1648 	1193 	456 	80 	50 	30 	1785 	384 	1400 	2.0 	2.1 	1.9 
	6月	June	*	3940 	2358 	1584 	3863 	2312 	1552 	1632 	1176 	458 	76 	46 	30 	1768 	387 	1380 	1.9 	2.0 	1.9 
	7月	July	*	3957 	2367 	1592 	3885 	2325 	1561 	1634 	1170 	464 	72 	42 	30 	1756 	384 	1372 	1.8 	1.8 	1.9 
	8月	Aug.	*	3963 	2361 	1602 	3893 	2319 	1573 	1641 	1182 	459 	70 	42 	28 	1752 	393 	1360 	1.8 	1.8 	1.7 
	9月	Sept.	*	3982 	2369 	1613 	3911 	2328 	1583 	1663 	1197 	467 	69 	41 	29 	1743 	390 	1354 	1.8 	1.7 	1.8 
