downloaded from https://www.e-stat.go.jp/dbview?sid=0003412315
STAT_NAME	00200524	人口推計
STATISTICS_NAME	人口推計 2019年10月1日現在人口推計
TITLE	表番号 003 年齢（５階級），男女別人口及び割合－総人口
cat01_code	男女別	cat02_code	人口・割合	cat03_code	年齢5階級	area_code	全国	time_code	時間軸（年）	unit	value	annotation
cat01_code	GenderGroup	cat02_code	numeric	cat03_code	AgeGroup	area_code	Area	time_code	year	unit	value	annotation
000	男女計	001	人口	01000	総数	00000	全国	2015000001	2015	thousands	127095	
000	男女計	001	人口	01000	総数	00000	全国	2016000001	2016	thousands	126933	
000	男女計	001	人口	01000	総数	00000	全国	2017000001	2017	thousands	126706	
000	男女計	001	人口	01000	総数	00000	全国	2018000001	2018	thousands	126443	
000	男女計	001	人口	01000	総数	00000	全国	2019000000	2019	thousands	126167	
000	男女計	001	人口	01001	0-4	00000	全国	2015000001	2015	thousands	5006	
000	男女計	001	人口	01001	0-4	00000	全国	2016000001	2016	thousands	4963	
000	男女計	001	人口	01001	0-4	00000	全国	2017000001	2017	thousands	4909	
000	男女計	001	人口	01001	0-4	00000	全国	2018000001	2018	thousands	4838	
000	男女計	001	人口	01001	0-4	00000	全国	2019000000	2019	thousands	4758	
000	男女計	001	人口	01002	5-9	00000	全国	2015000001	2015	thousands	5319	
000	男女計	001	人口	01002	5-9	00000	全国	2016000001	2016	thousands	5303	
000	男女計	001	人口	01002	5-9	00000	全国	2017000001	2017	thousands	5251	
000	男女計	001	人口	01002	5-9	00000	全国	2018000001	2018	thousands	5184	
000	男女計	001	人口	01002	5-9	00000	全国	2019000000	2019	thousands	5101	
000	男女計	001	人口	01003	10-14	00000	全国	2015000001	2015	thousands	5620	
000	男女計	001	人口	01003	10-14	00000	全国	2016000001	2016	thousands	5514	
000	男女計	001	人口	01003	10-14	00000	全国	2017000001	2017	thousands	5432	
000	男女計	001	人口	01003	10-14	00000	全国	2018000001	2018	thousands	5392	
000	男女計	001	人口	01003	10-14	00000	全国	2019000000	2019	thousands	5351	
000	男女計	001	人口	01004	15-19	00000	全国	2015000001	2015	thousands	6054	
000	男女計	001	人口	01004	15-19	00000	全国	2016000001	2016	thousands	6040	
000	男女計	001	人口	01004	15-19	00000	全国	2017000001	2017	thousands	5995	
000	男女計	001	人口	01004	15-19	00000	全国	2018000001	2018	thousands	5907	
000	男女計	001	人口	01004	15-19	00000	全国	2019000000	2019	thousands	5820	
000	男女計	001	人口	01005	20-24	00000	全国	2015000001	2015	thousands	6091	
000	男女計	001	人口	01005	20-24	00000	全国	2016000001	2016	thousands	6150	
000	男女計	001	人口	01005	20-24	00000	全国	2017000001	2017	thousands	6228	
000	男女計	001	人口	01005	20-24	00000	全国	2018000001	2018	thousands	6330	
000	男女計	001	人口	01005	20-24	00000	全国	2019000000	2019	thousands	6388	
000	男女計	001	人口	01006	25-29	00000	全国	2015000001	2015	thousands	6532	
000	男女計	001	人口	01006	25-29	00000	全国	2016000001	2016	thousands	6393	
