downloaded from https://www.e-stat.go.jp/stat-search/file-download?statInfId=000013168601&fileKind=0, https://www.e-stat.go.jp/stat-search/file-download?statInfId=000000090261&fileKind=0
year	memo	pop.t	pop.m	pop.f
1920	1)	55963	28044	27919
1921		56666	28412	28254
1922		57390	28800	28590
1923		58119	29177	28942
1924		58876	29569	29307
1925	1)	59737	30013	29724
1926		60741	30521	30220
1927		61659	30982	30678
1928		62595	31449	31146
1929		63461	31891	31570
1930	1)	64450	32390	32060
1931		65457	32899	32559
1932		66434	33355	33079
1933		67432	33845	33587
1934		68309	34294	34015
1935	1)	69254	34734	34520
1936		70114	35103	35011
1937		70630	35128	35503
1938		71013	35125	35888
1939		71380	35226	36154
1940	2)	71933	35387	36546
1941		72218		
1942		72880		
1943		73903		
1944		74433		
1945	3)	72147		
1946		75750		
1947	4)	78101	38129	39972
1948		80002	39130	40873
1949		81773	40063	41710
1950	1)	83200	40812	42388
1951		84541	41489	43052
1952		85808	42128	43680
1953		86981	42721	44260
1954		88239	43344	44895
1955	1)	89276	43861	45415
1956		90172	44301	45871
1957		90928	44671	46258
1958		91767	45078	46689
1959		92641	45504	47137
1960	1)	93419	45878	47541
1961		94287	46300	47987
1962		95181	46733	48447
1963		96156	47208	48947
1964		97182	47710	49471
1965	1)	98275	48244	50031
1966		99036	48611	50425
1967		100196	49180	51016
1968		101331	49739	51592
1969		102536	50334	52202
1970	1)	103720	50918	52802
1971		105145	51607	53538
1972		107595	52822	54773
1973		109104	53606	55498
1974		110573	54376	56197
1975	1)	111940	55091	56849
1976		113094	55658	57436
1977		114165	56184	57981
1978		115190	56682	58508
1979		116155	57151	59004
1980	1)	117060	57594	59467
1981		117902	58001	59901
1982		118728	58400	60329
1983		119536	58786	60750
1984		120305	59150	61155
1985	1)	121049	59497	61552
1986		121660	59788	61871
1987		122239	60058	62181
1988		122745	60302	62443
1989		123205	60515	62690
1990	1)	123611	60697	62914
1991		124101	60934	63167
1992		124567	61155	63413
1993		124938	61317	63621
1994		125265	61446	63819
1995	1)	125570	61574	63996
1996		125859	61698	64161
1997		126157	61827	64329
1998		126472	61952	64520
1999		126667	62017	64650
2000	1)	126926	62111	64815
2001		127316	62265	65051
2002		127486	62295	65190
2003		127694	62368	65326
2004		127787	62380	65407
2005	1)	127768	62349	65419
2006		127901	62387	65514
2007		128033	62424	65608
2008		128084	62422	65662
2009		128032	62358	65674
2010	1)	128057	62328	65730
2011		127834	62207	65627
2012		127593	62080	65513
2013		127414	61985	65429
2014		127237	61901	65336
2015	1)	127095	61842	65253

