"LOCATION"	"Country"	"SUBJECT"	"Subject"	"MEASURE"	"Measure"	"TIME"	"Time"	"Unit Code"	"Unit"	"PowerCode Code"	"PowerCode"	"Reference Period Code"	"Reference Period"	"Value"	"Flag Codes"	"Flags"
"AUS"	"Australia"	"T_GDP"	"Gross Domestic Product (GDP); millions"	"CPC"	"USD, current prices, current PPPs"	"1970"	"1970"	"USD"	"US Dollar"	"6"	"Millions"			58744.426		
"AUS"	"Australia"	"T_GDP"	"Gross Domestic Product (GDP); millions"	"CPC"	"USD, current prices, current PPPs"	"1971"	"1971"	"USD"	"US Dollar"	"6"	"Millions"			64011.08		
"AUS"	"Australia"	"T_GDP"	"Gross Domestic Product (GDP); millions"	"CPC"	"USD, current prices, current PPPs"	"1972"	"1972"	"USD"	"US Dollar"	"6"	"Millions"			69667.086		
"AUS"	"Australia"	"T_GDP"	"Gross Domestic Product (GDP); millions"	"CPC"	"USD, current prices, current PPPs"	"1973"	"1973"	"USD"	"US Dollar"	"6"	"Millions"			78684.326		
"AUS"	"Australia"	"T_GDP"	"Gross Domestic Product (GDP); millions"	"CPC"	"USD, current prices, current PPPs"	"1974"	"1974"	"USD"	"US Dollar"	"6"	"Millions"			86152.081		
"AUS"	"Australia"	"T_GDP"	"Gross Domestic Product (GDP); millions"	"CPC"	"USD, current prices, current PPPs"	"1975"	"1975"	"USD"	"US Dollar"	"6"	"Millions"			96659.873		
"AUS"	"Australia"	"T_GDP"	"Gross Domestic Product (GDP); millions"	"CPC"	"USD, current prices, current PPPs"	"1976"	"1976"	"USD"	"US Dollar"	"6"	"Millions"			104079.405		
"AUS"	"Australia"	"T_GDP"	"Gross Domestic Product (GDP); millions"	"CPC"	"USD, current prices, current PPPs"	"1977"	"1977"	"USD"	"US Dollar"	"6"	"Millions"			110056.543		
"AUS"	"Australia"	"T_GDP"	"Gross Domestic Product (GDP); millions"	"CPC"	"USD, current prices, current PPPs"	"1978"	"1978"	"USD"	"US Dollar"	"6"	"Millions"			123092.289		
"AUS"	"Australia"	"T_GDP"	"Gross Domestic Product (GDP); millions"	"CPC"	"USD, current prices, current PPPs"	"1979"	"1979"	"USD"	"US Dollar"	"6"	"Millions"			137700.414		
