LOCATION	Country	SUBJECT	Subject	MEASURE	Measure	TIME	Time	Unit Code	Unit	PowerCode Code	PowerCode	Reference Period Code	Reference Period	Value	Flag Codes	Flags
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	1970	1970	NATCUR	National currency	6	Millions			40379		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	1971	1971	NATCUR	National currency	6	Millions			44556		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	1972	1972	NATCUR	National currency	6	Millions			49831		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	1973	1973	NATCUR	National currency	6	Millions			60374		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	1974	1974	NATCUR	National currency	6	Millions			71277		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	1975	1975	NATCUR	National currency	6	Millions			83377		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	1976	1976	NATCUR	National currency	6	Millions			96236		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	1977	1977	NATCUR	National currency	6	Millions			105094		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	1978	1978	NATCUR	National currency	6	Millions			118789		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	1979	1979	NATCUR	National currency	6	Millions			134654		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	1980	1980	NATCUR	National currency	6	Millions			152410		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	1981	1981	NATCUR	National currency	6	Millions			175917		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	1982	1982	NATCUR	National currency	6	Millions			189481		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	1983	1983	NATCUR	National currency	6	Millions			213766		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	1984	1984	NATCUR	National currency	6	Millions			235414		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	1985	1985	NATCUR	National currency	6	Millions			260714		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	1986	1986	NATCUR	National currency	6	Millions			286222		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	1987	1987	NATCUR	National currency	6	Millions			324449		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	1988	1988	NATCUR	National currency	6	Millions			368145		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	1989	1989	NATCUR	National currency	6	Millions			404569		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	1990	1990	NATCUR	National currency	6	Millions			415233		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	1991	1991	NATCUR	National currency	6	Millions			423222		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	1992	1992	NATCUR	National currency	6	Millions			444218		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	1993	1993	NATCUR	National currency	6	Millions			466618		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	1994	1994	NATCUR	National currency	6	Millions			495509		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	1995	1995	NATCUR	National currency	6	Millions			528636		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	1996	1996	NATCUR	National currency	6	Millions			556257		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	1997	1997	NATCUR	National currency	6	Millions			588842		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	1998	1998	NATCUR	National currency	6	Millions			620924		
AUS	Australia	T_GDP	Gross Domestic Product (GDP); millions	C	National currency, current prices	1999	1999	NATCUR	National currency	6	Millions			661722		
